x,y1,y2,y3,y4
-20.0,13.070446,8000.247,12.667549,100.04914
-19.9,12.575935,7881.014,13.090523,99.46
-19.8,12.530017,7762.0044,12.560425,99.44674
-19.7,12.971295,7645.485,13.252632,98.66145
-19.6,12.919358,7529.52,12.519586,97.67052
-19.5,13.020471,7414.915,12.806473,97.75956
-19.4,12.345186,7301.539,13.321015,97.176
-19.3,12.451179,7188.569,12.494346,96.11993
-19.2,12.711349,7077.616,12.948779,96.10334
-19.1,12.060272,6967.3867,12.631057,95.60769
-19.0,12.881677,6858.8677,13.33167,94.63014
-18.9,12.618862,6751.1763,12.572391,94.75194
-18.8,11.920391,6644.1743,13.208331,94.018555
-18.7,12.210808,6539.0205,12.748042,93.65336
-18.6,12.147524,6434.3906,13.080994,93.15968
-18.5,12.1668005,6331.3726,13.141935,92.79639
-18.4,11.885001,6229.6353,13.146895,92.38466
-18.3,12.516308,6128.98,12.888138,91.59229
-18.2,12.344849,6028.3516,13.3913555,91.40262
-18.1,12.446291,5929.4434,12.502521,90.008446
-18.0,11.631222,5832.1123,13.034207,90.03732
-17.9,11.709696,5734.9575,13.016998,89.35306
-17.8,11.404481,5640.1904,12.536311,89.11938
-17.7,11.625488,5545.334,13.018494,88.804405
-17.6,11.739078,5451.5474,12.5490465,88.09506
-17.5,12.0479145,5359.6855,12.928071,87.24835
-17.4,11.986085,5268.4746,12.528436,86.70156
-17.3,11.695764,5178.026,12.944918,86.55607
-17.2,11.709987,5088.2646,13.161825,86.40132
-17.1,11.692013,5000.21,12.618429,85.0997
-17.0,11.786912,4913.049,12.536456,84.71685
-16.9,11.48632,4827.1733,12.671218,84.8872
-16.8,11.526112,4742.09,13.044631,83.81814
-16.7,11.8179245,4657.333,13.086533,83.34941
-16.6,11.023674,4574.5093,13.199954,82.64151
-16.5,10.937867,4491.642,12.529359,82.18601
-16.4,10.754566,4410.565,13.275328,82.24509
-16.3,11.209887,4330.258,12.778891,81.16926
-16.2,11.2404175,4251.1177,12.815803,80.69026
-16.1,11.081474,4173.0605,12.683204,80.25206
-16.0,10.652676,4095.8882,12.323133,79.69478
